id,address,lat,lon
130,"306 SHENANDOAH CIR, Winder, GA, 30680, US",34.0062280064478,-83.7047470191981
131,"1305 FIELDSTONE DR, Winder, GA, 30680, US",34.0518450057375,-83.7832169718031
132,"890 OLD HOG MOUNTAIN RD, Hoschton, GA, 30548, US",34.0706190020175,-83.8012470322667
133,"168 N MAIN ST SW, Milledgeville, GA, 31061, US",33.0616283406897,-83.2331449887048
134,"153 ROBERTS CIR, Homer, GA, 30547, US",34.3790540119536,-83.4793920086135
135,"241 JADE WAY, Maysville, GA, 30558, US",34.2677450199927,-83.5296260116294
136,"598 PENDERGRASS DR, Statham, GA, 30666, US",33.9576819930029,-83.5924109926412
137,"406 BUD MILES RD, Baxley, GA, 31513, US",31.6654320115528,-82.4153549980444
138,"1678 CARDINAL RD, Milledgeville, GA, 31061, US",33.1041690116302,-83.2362039961089
139,"1139 BRADFORD PARK DR, Auburn, GA, 30011, US",33.9984889952459,-83.8330450392482
140,"2768 YONAH HOMER RD, Lula, GA, 30554, US",34.3824260096915,-83.5489690134064
